Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Time until next event of timer 'Source1.EntityArrivals' is '0' Hours.
0,--,--,--,--,Firing event 'Source1.EntityArrivals.Event'.
0,--,--,--,--,Time until next event of timer 'Source1.EntityArrivals' is '0.00655278052637456' Hours.
0,Source1,Source1,0.OnEntityArrival,[Begin],Process 'Source1.OnEntityArrival' execution started.
0,Source1,Source1,0.OnEntityArrival,[Create] Entities,Creating '1' new object(s) of entity type 'DefaultEntity'.
0,Source1,Source1,0.OnEntityArrival,[Create] Entities,Created object 'DefaultEntity.11'.
0,DefaultEntity.11,Source1,1.OnEntityArrival,[Transfer] ToProcessing,Entity 'DefaultEntity.11' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0,Source1,Source1,0.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[Begin],Process 'Source1.OnEnteredProcessing' execution started.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'DefaultEntity.11' ending transfer into station 'Source1.Processing'.
0,DefaultEntity.11,Source1,2.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'DefaultEntity.11' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0,DefaultEntity.11,Source1,1.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[Begin],Process 'Source1.OnEnteredOutputBuffer' execution started.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'DefaultEntity.11' ending transfer into station 'Source1.OutputBuffer'.
0,DefaultEntity.11,Source1,0.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'DefaultEntity.11' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Source1.Entered'.
0,DefaultEntity.11,Output@Source1,1.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'DefaultEntity.11' transferring from '[Node] Output@Source1' into node 'Input@Server1'.
0,DefaultEntity.11,Input@Server1,3.OnEnteredToAssociatedObject,[Begin],Process 'Input@Server1.OnEnteredToAssociatedObject' execution started.
0,DefaultEntity.11,Input@Server1,3.OnEnteredToAssociatedObject,[Fire] EnteredEvent,Firing event 'Input@Server1.Entered'.
0,DefaultEntity.11,Input@Server1,3.OnEnteredToAssociatedObject,[Execute] EnteredAddOnProcess,Executing process 'Input_Server1_Entered'.
0,DefaultEntity.11,Model,4.Input_Server1_Entered,[Begin],Process 'Input_Server1_Entered' execution started.
0,DefaultEntity.11,Model,4.Input_Server1_Entered,[Calculation] Calculation1,Info: Before Calculation: Row=[1 Value1=457 Value2=458
0,DefaultEntity.11,Model,4.Input_Server1_Entered,[Calculation] Calculation1,Info: After Calculation: Row=[1 Value1=21.3775583264319 Value2=209764
0,DefaultEntity.11,Model,4.Input_Server1_Entered,[End],Process 'Input_Server1_Entered' execution ended.
0,DefaultEntity.11,Input@Server1,3.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'DefaultEntity.11' transferring from '[Node] Input@Server1' into object 'Server1'.
